Store,rows,sales_sum,wape,bias,err_std,TAE,RMSE,MAPE,abs_err_sum,sq_err_sum,abs_pct_err_sum,nonzero_n
1,54,204677.0,0.4031864840700225,-97.46296296296296,2444.876757576825,5263.0,2446.8186260711864,0.24249605710490046,82523.0,323293755.0,11.397314683930322,47
2,54,232766.0,0.4482613440107232,-112.29629629629629,2750.712625710934,6064.0,2753.0038880116767,0.3522892675224788,104340.0,409267642.0,16.557595573556505,47
3,54,327507.0,0.42336194340884314,-153.96296296296296,3760.6337771758185,8314.0,3763.784133023572,0.33127492537412634,138654.0,764967834.0,15.569921492583937,47
4,54,461174.0,0.42770624536508994,-259.1666666666667,5622.94011254426,13995.0,5628.909563172104,0.2609554975056847,197247.0,1710969635.0,12.264908382767182,47
5,54,214640.0,0.4443719716734998,-89.29629629629629,2648.4746877151315,4822.0,2649.979622563162,0.4153776756953592,95380.0,379209168.0,19.522750757681884,47
6,54,212305.0,0.43066814253079294,-104.64814814814815,2519.718628893486,5651.0,2521.8907993217517,0.31955077644600177,91433.0,343436393.0,15.018886492962084,47
7,54,453274.0,0.42310390624655286,-284.14814814814815,5344.89463710519,15344.0,5352.442325878145,0.31063947553249743,191782.0,1547026498.0,14.600055350027379,47
8,54,300230.0,0.42888452186656895,-157.25925925925927,3522.3165682344215,8492.0,3525.8253617389337,0.352388861592524,128764.0,671298002.0,16.56227649484863,47
9,54,347992.0,0.44027736269799306,-158.61111111111111,4421.034642674539,8565.0,4423.8789310170205,0.27855583477227175,153213.0,1056818059.0,13.092124234296772,47
10,54,279722.0,0.41129764551948006,-133.05555555555554,3232.330568540444,7185.0,3235.0679568109827,0.26999429025888816,115049.0,565145893.0,12.689731642167743,47
11,54,345417.0,0.41081649137129905,-193.64814814814815,4002.968556595113,10457.0,4007.6497938779994,0.2784452113794308,141903.0,867307871.0,13.086924934833247,47
12,54,357279.0,0.4234309881073335,-165.90740740740742,4468.9178625028435,8959.0,4471.996436674523,0.27313616267596963,151283.0,1079932615.0,12.837399645770573,47
13,54,244338.0,0.4947204282592147,-163.35185185185185,3095.5333960126973,8821.0,3099.8404528835567,0.361774326183826,120879.0,518886585.0,17.00339333063982,47
14,54,256035.0,0.4213408323080829,-121.18518518518519,3007.826796838628,6544.0,3010.267079328492,0.32778930399923933,107878.0,489332226.0,15.406097287964249,47
15,54,319038.0,0.42136986816617455,-170.2037037037037,3853.6266630934556,9191.0,3857.3835380033524,0.28330402229027773,134433.0,803488019.0,13.315289047643054,47
16,54,382415.0,0.41407633068786526,-189.46296296296296,4433.2417940130235,10231.0,4437.288475918432,0.30828488158610595,158349.0,1063234567.0,14.489389434546979,47
17,54,284006.0,0.43811750455976284,-156.11111111111111,3491.635352109204,8430.0,3495.1234758032674,0.41686467741188404,124428.0,659657958.0,19.59263983835855,47
18,54,328630.0,0.44497154855004106,-186.5,3958.430781256633,10071.0,3962.821785041563,0.3367637871706577,146231.0,848013651.0,15.827897997020912,47
19,54,317808.0,0.42699365654734933,-152.4814814814815,3809.16838761594,8234.0,3812.2190922620657,0.3162901325552991,135702.0,784782778.0,14.865636230099057,47
20,54,400866.0,0.4143903449032844,-177.64814814814815,4470.827022496975,9593.0,4474.355051806867,0.30863043403810153,166115.0,1081072069.0,14.505630399790771,47
21,54,271082.0,0.4957060963103415,-176.2037037037037,3680.771272737347,9515.0,3684.9864188904967,0.32781128656282366,134377.0,733272745.0,15.407130468452712,47
22,54,229507.0,0.4372067082921218,-121.5925925925926,2810.3052919601464,6566.0,2812.93451622902,0.31327685730410615,100342.0,427280432.0,14.724012293292988,47
23,54,258926.0,0.46702532769980615,-134.6851851851852,3416.1838240074485,7273.0,3418.8378169369953,0.3116785287769458,120925.0,631176409.0,14.648890852516454,47
24,54,460791.0,0.43985234086603253,-262.77777777777777,5663.032500239199,14190.0,5669.125969605831,0.30403093279182786,202680.0,1735505420.0,14.28945384121591,47
25,54,491654.0,0.40525654220244317,-262.5925925925926,5734.825686002498,14180.0,5740.834479282478,0.2652973895075447,199246.0,1779687748.0,12.468977306854603,47
26,54,319786.0,0.4526402031358471,-144.77777777777777,4102.82808364555,7818.0,4105.381698318548,0.29243846723058714,144748.0,910124580.0,13.744607959837596,47
27,54,449416.0,0.4234317425280809,-244.6851851851852,5554.879316034368,13213.0,5560.265736055747,0.29584250439955195,190297.0,1669493973.0,13.904597706778942,47
28,54,218933.0,0.45578784376955506,-135.2037037037037,2752.5423021584006,7301.0,2755.8608757821335,0.4422152941629929,99787.0,410117535.0,20.784118825660666,47
29,54,375725.0,0.47208197484862596,-174.27777777777777,5064.74130967719,9411.0,5067.738872295787,0.29090574806621033,177373.0,1386826773.0,13.672570159111887,47
30,54,188963.0,0.42806263660081606,-88.44444444444444,2273.8788500470646,4776.0,2275.598260775492,0.2901278573405942,80888.0,279630762.0,13.636009295007929,47
31,54,268025.0,0.40830519541087584,-134.22222222222223,3189.344630616062,7248.0,3192.167723942114,0.25262685089314,109436.0,550256478.0,11.873461991977582,47
32,54,200477.0,0.4358754370825581,-118.42592592592592,2355.223411608144,6395.0,2358.1988929092727,0.36808247488700563,87383.0,300299509.0,17.299876319689265,47
33,54,381582.0,0.43390149430528696,-199.7962962962963,4773.6610431409035,10789.0,4777.840340029668,0.26186085971320266,165569.0,1232698949.0,12.307460406520526,47
34,54,391711.0,0.4034556088544871,-206.37037037037038,4724.302873504573,11144.0,4728.808134231116,0.24253978736943343,158038.0,1207527824.0,11.399370006363371,47
35,54,523485.0,0.44798991375111036,-229.85185185185185,6751.016533627464,12412.0,6754.928283195249,0.3061314724469023,234516.0,2463969030.0,14.388179205004409,47
36,54,468573.0,0.40127792254355243,-230.03703703703704,5662.042495500231,12422.0,5666.713532485938,0.2349824950873559,188028.0,1734028682.0,11.044177269105727,47
37,54,311130.0,0.44465336033169417,-168.35185185185185,3921.5334451443177,9091.0,3925.1454632162877,0.2721637958248992,138345.0,831965413.0,12.791698403770262,47
38,54,287088.0,0.49731789555815636,-137.66666666666666,4099.325635597478,7434.0,4101.636597478838,0.29208822062167605,142774.0,908464830.0,13.728146369218775,47
39,54,220433.0,0.4221146561540241,-154.37037037037038,2646.7536810234105,8336.0,2651.2516401238227,0.33617388208963817,93048.0,379573304.0,15.800172458212993,47
